SUPPLIER PRODUCT NUMBER,SUPPLIER PRODUCT NAME,SUPPLIER EAN CODE ,PACKAGING UNIT,RETAIL PRICE (MSRP),PURCHASE PRICE (EXCL. VAT),BRAND,CATEGORY,MATERIAL,COLOR,COUNTRY OF ORIGIN,PRODUCT DESCRIPTION,MICROWAVE SAFE,CLEANING/WASHING INSTRUCTIONS,DISHWASHER SAFE,HANDMADE,DIAMETER (CM),WIDTH (CM) ,HEIGHT (CM),LENGHT (CM),CAPACITY (ML),NET PRODUCT WEIGHT (GRAMS),PACKAGE DIMENSIONS: LENGTH (CM),PACKAGE DIMENSIONS: HEIGHT (CM),PACKAGE DIMENSIONS: WIDTH (CM),GROSS WEIGHT INCL. PACKAGE (GRAMS)
313-123,Meadows Bowl East Coast,8595711803511,4 pcs / 1 box,"€62,50","€25,00",Anna von Lipa,Bowls, Glass,East Coast,Czech Republic,"The new MEADOWS collection was created in collaboration with our designer Jytte Correll. Jytte has been thinking about a similar design for a long time, and in cooperation with a glass factory, we managed to find the right technique and create this collection inspired mainly by nature. For this reason, the name MEADOWS and individual color combinations were named after the most similar colors from the nature that surrounds us.

Whether you choose the icy-looking ARCTIC inspired by the icy kingdom of Antarctica, MIDNIGHT evoking a dark night, CHERRY BLOSSOM looking like a blossoming cherry tree, SPRING with the feeling of a spring forest, EAST COAST which transports you to the ocean coast or VIVA MAGENTA with its calm color combination, you can never go wrong. All colors have been carefully selected to have a positive feeling and fit the trends of contemporary interiors.And what is the bonus of this collection? Color combinations have no limit. Nothing is impossible. You can choose any color mix and create your own combination. Plenty of colors and variants for everyone. This leads us to unlimited offers and possibilities of variation according to the wishes of our customers.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,11,-,8,No Length,200,150,"13,5",30,"13,8",1200
320-1,Hobnail Tapas 17 cm Amber ,5740009200104,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Amber,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-7,Hobnail Tapas 17 cm Blue smoke,5740009200333,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Blue smoke,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-9,Hobnail Tapas 17 cm Cashmere,8595711804341,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Cashmere,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-10,Hobnail Tapas 17 cm Crystal,5740009200128,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Crystal,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-12,Hobnail Tapas 17 cm Citron,5740009200340,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Citron,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-14,Hobnail Tapas 17 cm Light blue,5740009200203,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Light blue,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-16,Hobnail Tapas 17 cm Steel blue,8595711801296,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Steel Blue ,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-21,Hobnail Tapas 17 cm Light green,8595711803269,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Light green,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-27,Hobnail Tapas 17 cm Lavender,8595711802842,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Lavender,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-30,Hobnail Tapas 17 cm New brown,8595711802286,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,New Brown,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-32,Hobnail Tapas 17 cm Olivegreen,5740009208599,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Olivegreen,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-40,Hobnail Tapas 17 cm Lilla,5740009200197,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Lilla,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
320-50,Hobnail Tapas 17 cm Rosa,5740009200135,1 pcs / 1 box,"€80,00","€32,00",Anna von Lipa,Bowls, Glass,Rosa,Czech Republic,"This middle-sized hobnail bowls is playful, full of personality and they manage to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful, chubby twist and they are the perfect size for snacks and fruits. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,7,No Length,800,555,"17,5",9,"17,5",555
330-1,Hobnail Tapas 23 cm Amber,5740009200036,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Amber,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-7,Hobnail Tapas 23 cm Blue smoke,5740009200043,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Blue smoke,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-9,Hobnail Tapas 23 cm Cashmere,5740009209299,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Cashmere,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-10,Hobnail Tapas 23 cm Crystal,5740009200050,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Crystal,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-12,Hobnail Tapas 23 cm Citron,5740009200067,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Citron,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-14,Hobnail Tapas 23 cm Light blue,5740009200180,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Light blue,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-16,Hobnail Tapas 23 cm Steel blue,8595711801302,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Steel Blue ,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-21,Hobnail Tapas 23 cm Light green,5740009200074,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Light green,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-27,Hobnail Tapas 23 cm Lavender,8595711802859,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Lavender,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-30,Hobnail Tapas 23 cm New brown,8595711802293,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,New Brown,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-32,Hobnail Tapas 23 cm Olivegreen,5740009208605,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Olivegreen,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-40,Hobnail Tapas 23 cm Lilla,5740009200098,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Lilla,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
330-50,Hobnail Tapas 23 cm Rosa,5740009200081,1 pcs / 1 box,"€97,50","€39,00",Anna von Lipa,Bowls, Glass,Rosa,Czech Republic,This playful hobnail bowl is full of personality and are sure to lighten up any living space. They are ordained with the traditional Czech hobnail pattern and naturally mouthblown and handmade with care. The voluptuous shape gives them a cheerful twist and the large size is perfect for snacks and fruits.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,9,No Length,2600,970,"23,5","12,5","23,5",970
340-12,Hobnail Large Bowl 24 cm Citron,8595711805218,1 pcs / 1 box,"€112,50","€45,00",Anna von Lipa,Bowls, Glass,Citron,Czech Republic,"This playful hobnail bowl is full of personality and are sure to lighten
up any dining space. They are ordained with the traditional Czech
hobnail pattern and naturally mouthblown and handmade with care. The
salad bowl is made out of our biggest Hobnail Globe Vase 24cm, that
ensures that it is perfect size for your dining table and also makes
perfect decoration.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,,,,No Length,,,,,,
340-14,Hobnail Large Bowl 24 cm Light blue,8595711805225,1 pcs / 1 box,"€112,50","€45,00",Anna von Lipa,Bowls, Glass,Light blue,Czech Republic,"This playful hobnail bowl is full of personality and are sure to lighten
up any dining space. They are ordained with the traditional Czech
hobnail pattern and naturally mouthblown and handmade with care. The
salad bowl is made out of our biggest Hobnail Globe Vase 24cm, that
ensures that it is perfect size for your dining table and also makes
perfect decoration.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,,,,No Length,,,,,,
340-21,Hobnail Large Bowl 24 cm Light green,8595711805232,1 pcs / 1 box,"€112,50","€45,00",Anna von Lipa,Bowls, Glass,Light green,Czech Republic,"This playful hobnail bowl is full of personality and are sure to lighten
up any dining space. They are ordained with the traditional Czech
hobnail pattern and naturally mouthblown and handmade with care. The
salad bowl is made out of our biggest Hobnail Globe Vase 24cm, that
ensures that it is perfect size for your dining table and also makes
perfect decoration.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,,,,No Length,,,,,,
340-32,Hobnail Large Bowl 24 cm Olivegreen,8595711805249,1 pcs / 1 box,"€112,50","€45,00",Anna von Lipa,Bowls, Glass,Olivegreen,Czech Republic,"This playful hobnail bowl is full of personality and are sure to lighten
up any dining space. They are ordained with the traditional Czech
hobnail pattern and naturally mouthblown and handmade with care. The
salad bowl is made out of our biggest Hobnail Globe Vase 24cm, that
ensures that it is perfect size for your dining table and also makes
perfect decoration.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,,,,No Length,,,,,,
340-40,Hobnail Large Bowl 24 cm Lilla,8595711805256,1 pcs / 1 box,"€112,50","€45,00",Anna von Lipa,Bowls, Glass,Lilla,Czech Republic,"This playful hobnail bowl is full of personality and are sure to lighten
up any dining space. They are ordained with the traditional Czech
hobnail pattern and naturally mouthblown and handmade with care. The
salad bowl is made out of our biggest Hobnail Globe Vase 24cm, that
ensures that it is perfect size for your dining table and also makes
perfect decoration.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,,,,No Length,,,,,,
340-50,Hobnail Large Bowl 24 cm Rosa,8595711805263,1 pcs / 1 box,"€112,50","€45,00",Anna von Lipa,Bowls, Glass,Rosa,Czech Republic,"This playful hobnail bowl is full of personality and are sure to lighten
up any dining space. They are ordained with the traditional Czech
hobnail pattern and naturally mouthblown and handmade with care. The
salad bowl is made out of our biggest Hobnail Globe Vase 24cm, that
ensures that it is perfect size for your dining table and also makes
perfect decoration.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,,,,No Length,,,,,,
355-32,Croco Bowl Olivegreen,8595711800817,1 pcs / 1 box,"€79,25","€31,70",Anna von Lipa,Bowls, Glass,Olivegreen,Czech Republic,"This bowl nicely coresponds with out Balloon Vase Croco. It's statement piece that captures the eye with its bold 1970’s aesthetic. The elegant croco-pattern that encloses the bold circular form, makes the creative design contrasting yet tasteful. It is mouthblown and designed by the owner of Anna von Lipa, Jytte Correll.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,21,,8,No Length,1500,1200,"12,5","23,5","23,5",1200
355-40,Croco Bowl Lilla,8595711800824,1 pcs / 1 box,"€79,25","€31,70",Anna von Lipa,Bowls, Glass,Lilla,Czech Republic,"This bowl nicely coresponds with out Balloon Vase Croco. It's statement piece that captures the eye with its bold 1970’s aesthetic. The elegant croco-pattern that encloses the bold circular form, makes the creative design contrasting yet tasteful. It is mouthblown and designed by the owner of Anna von Lipa, Jytte Correll.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,21,,8,No Length,1500,1200,"12,5","23,5","23,5",1200
355-50,Croco Bowl Rosa,8595711800831,1 pcs / 1 box,"€79,25","€31,70",Anna von Lipa,Bowls, Glass,Rosa,Czech Republic,"This bowl nicely coresponds with out Balloon Vase Croco. It's statement piece that captures the eye with its bold 1970’s aesthetic. The elegant croco-pattern that encloses the bold circular form, makes the creative design contrasting yet tasteful. It is mouthblown and designed by the owner of Anna von Lipa, Jytte Correll.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,21,,8,No Length,1500,1200,"12,5","23,5","23,5",1200
360-90,Tapas Freja ,5740009205703,4 pcs / 1 box,"€52,50","€21,00",Anna von Lipa,Bowls, Glass,Freja,Czech Republic,"Bursting with colorful playfulness, the Freja bowl is an aesthetic addition to any décor. The sports are blown into the glass, giving them an organic touch and look.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,11,,8,No Length,200,150,"13,5",30,"13,8",600
385-135,Tapas Multi-full ,5740009209909,4 pcs / 1 box,"€57,75","€23,10",Anna von Lipa,Bowls, Glass,Multi-full,Czech Republic,"Bursting with colorful playfulness, the Multi-full bowl is an aesthetic addition to any décor. The sports are blown into the glass, giving them an organic touch and look.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,11,,8,No Length,200,150,"13,5",30,"13,8",600
394-95,Tapas Marble,8595711802262,4 pcs / 1 box,"€57,75","€23,10",Anna von Lipa,Bowls, Glass,Marble,Czech Republic,"Bursting with colorful playfulness, the Marble bowl is an aesthetic addition to any décor. The sports are blown into the glass, giving them an organic touch and look.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,11,,8,No Length,200,150,"13,5",30,"13,8",600
396-132,Tapas Pacific,8595711802279,4 pcs / 1 box,"€57,75","€23,10",Anna von Lipa,Bowls, Glass,Pacific,Czech Republic,"Bursting with colorful playfulness, the Pacific bowl is an aesthetic addition to any décor. The sports are blown into the glass, giving them an organic touch and look.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,11,,8,No Length,200,150,"13,5",30,"13,8",600
398-74,Tapas Flamingo,5740009208780,4 pcs / 1 box,"€52,50","€21,00",Anna von Lipa,Bowls, Glass,Flamingo,Czech Republic,"Bursting with colorful playfulness, the Flamingo bowl is an aesthetic addition to any décor. The sports are blown into the glass, giving them an organic touch and look.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,11,,8,No Length,200,150,"13,5",30,"13,8",600
399-131,Tapas Apricot,5740009209442,4 pcs / 1 box,"€52,50","€21,00",Anna von Lipa,Bowls, Glass,Apricot,Czech Republic,"Bursting with colorful playfulness, the Apricot bowl is an aesthetic addition to any décor. The sports are blown into the glass, giving them an organic touch and look.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,11,,8,No Length,200,150,"13,5",30,"13,8",600
500-1,Hobnail Glass Amber,5740009205765,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Amber,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-5,Hobnail Glass Beryl,5740009205871,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Beryl,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-7,Hobnail Glass Blue smoke,5740009205895,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Blue smoke,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-9,Hobnail Glass Cashmere,5740009205932,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Cashmere,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-10,Hobnail Glass Crystal,5740009205772,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Crystal,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-12,Hobnail Glass Citron,5740009205789,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Citron,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-14,Hobnail Glass Light blue,5740009205802,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Light blue,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-16,Hobnail Glass Steel blue,8595711801234,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Steel Blue ,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-21,Hobnail Glass Light green,5740009205833,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Light green,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-27,Hobnail Glass Lavender blue,8595711802866,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Lavender,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-30,Hobnail Glass New Brown,8595711802309,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,New Brown,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
500-32,Hobnail Glass Olivegreen,5740009208612,6 pcs / 1 box,"€27,25","€10,90",Anna von Lipa,Tumblers, Glass,Olivegreen,Czech Republic,"The hobnail glass is a prime example of a modern twist on a classic Bohemian glass tradition. They are playful yet elegant with their minimalist hobnail pattern and give a tasteful edge to any dining table. Furthermore, they are practical and as easy to wash as they are easy on the eyes.  

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"7,5",,12,No Length,200,200,"25,8",12,17,1200
